  2    3   0  8.7774652  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    5.145885287
   3   3   1  -1.03109091582E-04
   4   3   1   2.48350009674E-06
   5   3   1  -2.48372641020E-06
   6   3   1   1.03108714344E-04
   1   4   1  -1.38003185890E-04
   2   4   1   1.88969192050E-10
   3   4   1   1.38002444289E-04
   4   4   1   2.59120543272E-05
   5   4   1   7.41599642529E-10
   6   4   1  -2.59122433000E-05
   1   5   1  -1.05696432689E-04
   2   5   1  -4.36961374047E-05
   3   5   1   4.36975259826E-05
   4   5   1   1.05695534627E-04
   5   5   1  -8.27137733550E-05
   6   5   1   8.27132828341E-05
   1   6   1  -4.16525647892E-04
   2   6   1  -7.85288952915E-05
   3   6   1  -3.76906512661E-10
   4   6   1   7.85282753619E-05
   5   6   1   4.16526024815E-04
   6   6   1   6.19902506238E-10
   1   2   2   1
   1   1   1   4.93591278961E-13
   2   1   1  -1.56935158755E-03
   3   1   1  -2.21071870309E-04
   4   1   1   3.31304621083E-13
   5   1   1   2.21071870019E-04
   6   1   1   1.56935158720E-03
   1   2   1  -1.61600816022E-03
   2   2   1   1.61600815993E-03
   3   2   1  -1.16829968326E-04
   4   2   1  -6.61619164394E-05
   5   2   1   6.61619161292E-05
   6   2   1   1.16829968943E-04
   1   3   1  -2.09076549740E-04
   2   3   1   3.26956343943E-13
   3   3   1   2.09076549421E-04
   4   3   1  -1.04758357354E-04
   5   3   1   3.21633634078E-13
   6   3   1   1.04758357034E-04
   1   4   1   2.16352585930E-04
   2   4   1   2.86472743242E-05
   3   4   1  -2.86472746377E-05
   4   4   1  -2.16352585305E-04
   5   4   1  -3.72801667963E-04
   6   4   1   3.72801667662E-04
   1   5   1   1.14810135851E-03
   2   5   1   7.79243697296E-05
   3   5   1   3.24805118180E-13
   4   5   1  -7.79243700441E-05
   5   5   1  -1.14810135886E-03
   6   5   1   3.68708825046E-13
   1   6   1   1.69877433756E-02
   2   6   1  -6.09501436840E-04
   3   6   1  -1.30174656984E-04
   4   6   1   1.30174656702E-04
   5   6   1   6.09501437528E-04
   6   6   1  -1.69877433761E-02
   1   2   2   2
   1   1   1  -3.98751199883E-13
   2   1   1   3.26333289095E-14
   3   1   1   1.27793621075E-13
   4   1   1  -3.82566723767E-13
   5   1   1   1.27793621075E-13
   6   1   1   3.26333289095E-14
   1   2   1   7.62663013181E-04
   2   2   1  -7.62663012743E-04
   3   2   1   4.65835326259E-04
   4   2   1   6.52580895924E-05
   5   2   1  -6.52580892849E-05
   6   2   1  -4.65835326940E-04
   1   3   1  -1.61263773615E-04
   2   3   1  -3.90575062647E-13
   3   3   1   1.61263773981E-04
   4   3   1   1.85068985463E-04
   5   3   1  -3.54978536920E-13
   6   3   1  -1.85068985107E-04
   1   4   1  -1.29308426702E-04
   2   4   1  -1.19810899295E-04
   3   4   1   1.19810899626E-04
   4   4   1   1.29308426019E-04
   5   4   1   1.19810899626E-04
   6   4   1  -1.19810899295E-04
   1   5   1  -1.61263773615E-04
   2   5   1  -1.85068985107E-04
   3   5   1  -3.54978536920E-13
   4   5   1   1.85068985463E-04
   5   5   1   1.61263773981E-04
   6   5   1  -3.90575062647E-13
   1   6   1   7.62663013181E-04
   2   6   1  -4.65835326940E-04
   3   6   1  -6.52580892849E-05
   4   6   1   6.52580895924E-05
   5   6   1   4.65835326259E-04
   6   6   1  -7.62663012743E-04
   1   2   2   3
   1   1   1  -1.69877435341E-02
   2   1   1   6.09500693610E-04
   3   1   1   1.30175469064E-04
   4   1   1  -1.30174879850E-04
   5   1   1  -6.09501580057E-04
   6   1   1   1.69877438313E-02
   1   2   1  -3.08371762418E-10
   2   2   1  -1.14810143104E-03
   3   2   1  -7.79234294729E-05
   4   2   1   7.20203134892E-10
   5   2   1   7.79237378988E-05
   6   2   1   1.14810071080E-03
   1   3   1   3.72802211633E-04
   2   3   1  -3.72802618138E-04
   3   3   1  -2.16352630720E-04
   4   3   1  -2.86470528326E-05
   5   3   1   2.86471645766E-05
   6   3   1   2.16352925491E-04
   1   4   1   1.04758553147E-04
   2   4   1   4.08829043295E-10
   3   4   1  -1.04758407364E-04
   4   4   1   2.09075850491E-04
   5   4   1  -1.45776542506E-10
   6   4   1  -2.09076259317E-04
   1   5   1   1.16829280662E-04
   2   5   1   6.61618105693E-05
   3   5   1  -6.61623430966E-05
   4   5   1  -1.16829460021E-04
   5   5   1   1.61600837474E-03
   6   5   1  -1.61600766284E-03
   1   6   1   1.56935079517E-03
   2   6   1   2.21070864826E-04
   3   6   1   4.29965606509E-10
   4   6   1  -2.21071629015E-04
   5   6   1  -1.56935122515E-03
   6   6   1   7.64392106048E-10
   1   2   3   1
   1   1   1  -4.74946232255E-03
   2   1   1   4.74946319207E-03
   3   1   1  -9.40963806837E-05
   4   1   1  -3.23074399680E-05
   5   1   1   3.23072140579E-05
   6   1   1   9.40957370948E-05
   1   2   1  -4.16525647892E-04
   2   2   1   6.19902506238E-10
   3   2   1   4.16526024815E-04
   4   2   1   7.85282753619E-05
   5   2   1  -3.76906512661E-10
   6   2   1  -7.85288952915E-05
   1   3   1  -1.05696432689E-04
   2   3   1   8.27132828341E-05
   3   3   1  -8.27137733550E-05
   4   3   1   1.05695534627E-04
   5   3   1   4.36975259826E-05
   6   3   1  -4.36961374047E-05
   1   4   1  -1.38003185890E-04
   2   4   1  -2.59122433000E-05
   3   4   1   7.41599642529E-10
   4   4   1   2.59120543272E-05
   5   4   1   1.38002444289E-04
   6   4   1   1.88969192050E-10
   1   5   1  -5.10621806394E-04
   2   5   1   1.03108714344E-04
   3   5   1  -2.48372641020E-06
   4   5   1   2.48350009674E-06
   5   5   1  -1.03109091582E-04
   6   5   1   5.10622409941E-04
   1   6   1  -2.41117638436E-10
   2   6   1   3.12925795683E-03
   3   6   1   2.03968669495E-05
   4   6   1  -6.35863980303E-10
   5   6   1  -2.03966259337E-05
   6   6   1  -3.12925732096E-03
   1   2   3   2
   1   1   1  -1.69877435341E-02
   2   1   1   1.69877440382E-02
   3   1   1   1.63957175061E-03
   4   1   1   2.40228453483E-04
   5   1   1  -2.40227861601E-04
   6   1   1  -1.63957284662E-03
   1   2   1   1.56935135072E-03
   2   2   1   8.35271110861E-10
   3   2   1  -1.56935150293E-03
   4   2   1   9.69575888205E-05
   5   2   1   1.52187829601E-10
   6   2   1  -9.69584238878E-05
   1   3   1   4.34858827444E-04
   2   3   1   6.33065270667E-04
   3   3   1  -6.33065789264E-04
   4   3   1  -4.34859233411E-04
   5   3   1  -6.61615097633E-05
   6   3   1   6.61624343361E-05
   1   4   1   1.04757442036E-04
   2   4   1   1.61326308894E-04
   3   4   1   4.09779012324E-10
   4   4   1  -1.61326371731E-04
   5   4   1  -1.04757851808E-04
   6   4   1   6.28399553650E-11
   1   5   1   5.47726648514E-05
   2   5   1  -1.54049364942E-04
   3   5   1   2.86479979100E-05
   4   5   1  -2.86472794419E-05
   5   5   1   1.54049866613E-04
   6   5   1  -5.47738849794E-05
   1   6   1   2.47183792243E-10
   2   6   1  -1.10097277826E-03
   3   6   1   7.79234601210E-05
   4   6   1   3.91256924718E-10
   5   6   1  -7.79237072506E-05
   6   6   1   1.10097238697E-03
   1   2   3   3
   1   1   1  -9.96796684546E-14
   2   1   1  -3.33176331085E-04
   3   1   1  -4.09248002530E-04
   4   1   1  -9.56420031907E-14
   5   1   1   4.09248002594E-04
   6   1   1   3.33176331102E-04
   1   2   1  -1.29523675835E-03
   2   2   1   1.29523675846E-03
   3   2   1   3.14902026009E-04
   4   2   1  -9.56461449057E-06
   5   2   1   9.56461456745E-06
   6   2   1  -3.14902026180E-04
   1   3   1  -3.31212487632E-04
   2   3   1  -9.76440427356E-14
   3   3   1   3.31212487724E-04
   4   3   1   9.25152721434E-05
   5   3   1  -8.87440680355E-14
   6   3   1  -9.25152720542E-05
   1   4   1   5.68881711022E-05
   2   4   1  -5.44783200457E-05
   3   4   1   5.44783201285E-05
   4   4   1  -5.68881712730E-05
   5   4   1  -4.07248147600E-05
   6   4   1   4.07248148428E-05
   1   5   1   4.87283517492E-04
   2   5   1   2.68786283423E-06
   3   5   1  -8.87441162223E-14
   4   5   1  -2.68786274509E-06
   5   5   1  -4.87283517400E-04
   6   5   1  -9.76440668290E-14
   1   6   1  -6.28884096167E-04
   2   6   1  -3.14902026180E-04
   3   6   1  -8.56385203210E-05
   4   6   1   8.56385203979E-05
   5   6   1   3.14902026009E-04
   6   6   1   6.28884096276E-04
   1   3   1   1
   1   1   1  -2.40933816108E-20
   2   1   1  -5.91215817029E-04
   3   1   1   1.60670325288E-04
   4   1   1   1.20466908054E-20
   5   1   1  -1.60670325288E-04
   6   1   1   5.91215817029E-04
   1   2   1  -3.43597406478E-04
   2   2   1   3.43597406478E-04
   3   2   1   6.16895574416E-05
   4   2   1   1.66925897275E-05
   5   2   1  -1.66925897275E-05
   6   2   1  -6.16895574416E-05
   1   3   1  -1.96424440956E-04
   2   3   1   2.71050543121E-20
   3   3   1   1.96424440956E-04
   4   3   1   2.24383349487E-05
   5   3   1  -3.01167270135E-21
   6   3   1  -2.24383349487E-05
   1   4   1  -1.95655555556E-05
   2   4   1  -2.05766254249E-06
   3   4   1   2.05766254249E-06
   4   4   1   1.95655555556E-05
   5   4   1   5.74789301306E-06
   6   4   1  -5.74789301306E-06
   1   5   1  -3.57555590441E-05
   2   5   1   7.36833494868E-06
   3   5   1  -2.40933816108E-20
   4   5   1  -7.36833494868E-06
   5   5   1   3.57555590441E-05
   6   5   1  -2.40933816108E-20
   1   6   1  -9.34813704633E-04
   2   6   1   3.37406685527E-05
   3   6   1   9.42481194973E-06
   4   6   1  -9.42481194973E-06
   5   6   1  -3.37406685527E-05
   6   6   1   9.34813704633E-04
   1   3   1   2
   1   1   1   0.00000000000E+00
   2   1   1  -1.34907512901E-05
   3   1   1  -1.13410837878E-05
   4   1   1   0.00000000000E+00
   5   1   1   1.13410837878E-05
   6   1   1   1.34907512901E-05
   1   2   1   5.07262079997E-03
   2   2   1  -5.07262079997E-03
   3   2   1  -1.05130000914E-03
   4   2   1  -1.23591211069E-04
   5   2   1   1.23591211069E-04
   6   2   1   1.05130000914E-03
   1   3   1   1.27573556573E-03
   2   3   1   3.43330687954E-19
   3   3   1  -1.27573556573E-03
   4   3   1  -2.19056338656E-04
   5   3   1  -9.03501810405E-20
   6   3   1   2.19056338656E-04
   1   4   1   5.66094444444E-05
   2   4   1  -4.58449288830E-05
   3   4   1   4.58449288830E-05
   4   4   1  -5.66094444444E-05
   5   4   1  -5.36603999412E-06
   6   4   1   5.36603999412E-06
   1   5   1  -6.69838990632E-05
   2   5   1  -5.66813386564E-05
   3   5   1   9.63735264432E-20
   4   5   1   5.66813386564E-05
   5   5   1   6.69838990632E-05
   6   5   1   9.63735264432E-20
   1   6   1   2.24436422253E-04
   2   6   1  -5.71855646935E-05
   3   6   1  -7.23732217996E-06
   4   6   1   7.23732217996E-06
   5   6   1   5.71855646935E-05
   6   6   1  -2.24436422253E-04
   1   3   1   3
   1   1   1  -1.10719055556E-03
   2   1   1   8.54738657292E-05
   3   1   1   1.30939879234E-05
   4   1   1  -1.30916666667E-05
   5   1   1  -8.54750990345E-05
   6   1   1   1.10718946760E-03
   1   2   1   4.57521045146E-10
   2   2   1  -3.28790674445E-03
   3   2   1   8.48306166858E-05
   4   2   1   2.36177934054E-10
   5   2   1  -8.48310742068E-05
   6   2   1   3.28790650827E-03
   1   3   1  -1.27805331868E-04
   2   3   1   1.27805553128E-04
   3   3   1   1.35948296429E-04
   4   3   1   1.03644049336E-05
   5   3   1  -1.03645831717E-05
   6   3   1  -1.35948339451E-04
   1   4   1  -1.31955555556E-05
   2   4   1   4.72998262856E-11
