  2    2   0  8.1473937  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    5.013197440
           1  'Pb '    188851.246969807     
           2  'Te '    116300.285296078     
    1    2      0.0000000000      0.5773502692      2.7031875291
    2    1      0.0000000000      0.0000000000      2.3100099106
 T
          3.432338423574         -0.000000000033          0.000000000000
         -0.000000000033          3.432338423622          0.000000000000
          0.000000000000          0.000000000000          1.208801587933
    1
     -2.3499491     -0.0000000      0.0000000
     -0.0000000     -2.3499491      0.0000000
      0.0000000      0.0000000     -0.0958396
    2
      2.3499491      0.0000000      0.0000000
      0.0000000      2.3499491      0.0000000
      0.0000000      0.0000000      0.0958396
   6   6   1
   6   3   1   1.16654051717E-04
   1   4   1   1.47303418612E-04
   2   4   1   1.51027365301E-04
   3   4   1  -1.51027217682E-04
   4   4   1  -1.47303713891E-04
   5   4   1  -5.24752174520E-05
   6   4   1   5.24753650797E-05
   1   5   1  -1.09640812055E-04
   2   5   1   1.19678042735E-04
   3   5   1  -1.47645688307E-10
   4   5   1  -1.19677895103E-04
   5   5   1   1.09640959686E-04
   6   5   1  -1.47649236105E-10
   1   6   1  -1.91455540050E-05
   2   6   1   2.93134689914E-04
   3   6   1   5.98191780804E-05
   4   6   1  -5.98190304552E-05
   5   6   1  -2.93134985189E-04
   6   6   1   1.91457016218E-05
   2   1   2   2
   1   1   1  -9.97779332633E-10
   2   1   1  -1.84700940747E-03
   3   1   1  -4.57473571626E-04
   4   1   1  -9.97787490302E-10
   5   1   1   4.57474569469E-04
   6   1   1   1.84701040537E-03
   1   2   1  -7.12735446856E-04
   2   2   1   7.12736444642E-04
   3   2   1   3.32896281256E-04
   4   2   1   2.01812951983E-05
   5   2   1  -2.01802973723E-05
   6   2   1  -3.32898276858E-04
   1   3   1  -3.10375453107E-04
   2   3   1  -9.97785245486E-10
   3   3   1   3.10376450914E-04
   4   3   1   1.51423728076E-04
   5   3   1  -9.97797032956E-10
   6   3   1  -1.51422730267E-04
   1   4   1   8.45975819898E-05
   2   4   1  -8.42283025797E-05
   3   4   1   8.42293003972E-05
   4   4   1  -8.45995775930E-05
   5   4   1  -9.79796444300E-06
   6   4   1   9.79896226049E-06
   1   5   1   6.04572687987E-04
   2   5   1  -5.73954654265E-05
   3   5   1  -9.97797033028E-10
   4   5   1   5.73964632358E-05
   5   5   1  -6.04571690181E-04
   6   5   1  -9.97785245486E-10
   1   6   1   2.98128436598E-03
   2   6   1  -3.32898276858E-04
   3   6   1  -1.14207562212E-04
   4   6   1   1.14208560039E-04
   5   6   1   3.32896281256E-04
   6   6   1  -2.98128336820E-03
   2   2   1   1
   1   1   1   9.43609395968E-02
   2   1   1   1.44849818917E-04
   3   1   1  -1.58873946305E-04
   4   1   1  -6.11966572046E-05
   5   1   1  -1.58873946305E-04
   6   1   1   1.44849818917E-04
   1   2   1  -2.37583821655E-03
   2   2   1  -2.37583821645E-03
   3   2   1   4.41583293360E-05
   4   2   1  -9.75904747362E-06
   5   2   1  -9.75904748838E-06
   6   2   1   4.41583292662E-05
   1   3   1  -3.86920264786E-04
   2   3   1   7.21407060995E-04
   3   3   1  -3.86920264768E-04
   4   3   1   1.70179434552E-04
   5   3   1   1.14345186799E-04
   6   3   1   1.70179434534E-04
   1   4   1  -2.05603399430E-04
   2   4   1   2.46063411251E-04
   3   4   1   2.46063411253E-04
   4   4   1  -2.05603399422E-04
   5   4   1   2.46063411253E-04
   6   4   1   2.46063411251E-04
   1   5   1  -3.86920264786E-04
   2   5   1   1.70179434534E-04
   3   5   1   1.14345186799E-04
   4   5   1   1.70179434552E-04
   5   5   1  -3.86920264768E-04
   6   5   1   7.21407060995E-04
   1   6   1  -2.37583821655E-03
   2   6   1   4.41583292662E-05
   3   6   1  -9.75904748838E-06
   4   6   1  -9.75904747362E-06
   5   6   1   4.41583293360E-05
   6   6   1  -2.37583821645E-03
   2   2   1   2
   1   1   1  -5.68563464093E-02
   2   1   1  -6.83656284472E-04
   3   1   1  -5.08911386215E-05
   4   1   1  -5.54184918066E-05
   5   1   1  -5.08916015385E-05
   6   1   1  -6.83655821350E-04
   1   2   1   4.86039534666E-04
   2   2   1   4.86039997601E-04
   3   2   1  -4.47940450764E-04
   4   2   1  -2.08002655096E-04
   5   2   1  -2.08002192135E-04
   6   2   1  -4.47940450729E-04
   1   3   1   8.63122201739E-05
   2   3   1  -3.53983427856E-05
   3   3   1   8.63117572184E-05
   4   3   1  -2.62707822070E-04
   5   3   1  -3.11613315601E-04
   6   3   1  -2.62708285011E-04
   1   4   1   1.12834472700E-06
   2   4   1   3.81127269988E-05
   3   4   1   3.81131899419E-05
   4   4   1   1.12834471341E-06
   5   4   1  -4.23152470529E-04
   6   4   1  -4.23152007576E-04
   1   5   1  -4.86014257995E-04
   2   5   1   1.66652175881E-04
   3   5   1   1.29003956057E-04
   4   5   1   1.66651712900E-04
   5   5   1  -4.86013795111E-04
   6   5   1  -1.90952476853E-03
   1   6   1  -1.24125960728E-02
   2   6   1   5.03798339901E-04
   3   6   1   7.63375498721E-05
   4   6   1   7.63380128141E-05
   5   6   1   5.03798339850E-04
   6   6   1  -1.24125965364E-02
   2   2   2   1
   1   1   1  -5.68563464093E-02
   2   1   1  -6.83655821350E-04
   3   1   1  -5.08916015385E-05
   4   1   1  -5.54184918066E-05
   5   1   1  -5.08911386215E-05
   6   1   1  -6.83656284472E-04
   1   2   1  -1.24125960728E-02
   2   2   1  -1.24125965364E-02
   3   2   1   5.03798339850E-04
   4   2   1   7.63380128141E-05
   5   2   1   7.63375498721E-05
   6   2   1   5.03798339901E-04
   1   3   1  -4.86014257995E-04
   2   3   1  -1.90952476853E-03
   3   3   1  -4.86013795111E-04
   4   3   1   1.66651712900E-04
   5   3   1   1.29003956057E-04
   6   3   1   1.66652175881E-04
   1   4   1   1.12834472700E-06
   2   4   1  -4.23152007576E-04
   3   4   1  -4.23152470529E-04
   4   4   1   1.12834471341E-06
   5   4   1   3.81131899419E-05
   6   4   1   3.81127269988E-05
   1   5   1   8.63122201739E-05
   2   5   1  -2.62708285011E-04
