  2    2   0  4.7418901  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    7.970349730
           1  'B  '    9853.62370169200     
           2  'N  '    12766.3260662741     
    1    1      0.0000000000      0.5773502692      3.9851748648
    2    2      0.5000000000      0.2886751346      3.9851748648
 T
          1.627164291400          0.000000000000          0.000000000000
          0.000000000000          1.627164291393          0.000000000000
          0.000000000000          0.000000000000          1.103712267781
    1
      2.7050956      0.0000000      0.0000000
      0.0000000      2.7050956      0.0000000
      0.0000000      0.0000000      0.2300446
    2
     -2.7050956      0.0000000      0.0000000
      0.0000000     -2.7050956      0.0000000
      0.0000000      0.0000000     -0.2300446
   1   9   1  -8.14932398143E-04   2.62634015243E-03
   2   9   1   1.19528876817E-04  -2.32685918377E-03
   3   9   1   1.24628245826E-04  -2.55928683138E-03
   4   9   1   1.01118048764E-04  -2.15203619480E-03
   5   9   1   9.71547454002E-05  -1.98049798619E-03
   6   9   1   1.01118174563E-04  -2.15203632060E-03
   7   9   1   1.24625538627E-04  -2.55928412418E-03
   8   9   1   1.19534678697E-04  -2.32686498565E-03
   9   9   1  -8.14937531243E-04   2.62634528553E-03
  10   9   1  -5.07137041168E-06   1.08387085493E-02
   1  10   1  -9.69532997694E-03   1.71735801447E-02
   2  10   1   1.60441636678E-03  -9.52297068033E-03
   3  10   1   4.44290803506E-04  -5.65969143940E-03
   4  10   1   2.10319931533E-04  -3.48086073327E-03
   5  10   1   1.44652866763E-04  -2.65470340502E-03
   6  10   1   1.44651356980E-04  -2.65470189523E-03
   7  10   1   2.10321984297E-04  -3.48086278603E-03
   8  10   1   4.44289419523E-04  -5.65969005541E-03
   9  10   1   1.60441516937E-03  -9.52296948292E-03
  10  10   1  -9.69532622783E-03   1.71735763956E-02
   1   2   1   1
   1   1   1  -1.05890680646E-08   1.05890680668E-08
   2   1   1   1.96106478822E-02  -3.10048278773E-09
   3   1   1   5.74364571670E-03  -4.59118157978E-09
   4   1   1   1.53376937358E-03   1.68458711158E-09
   5   1   1   4.96784059486E-04  -7.03352454889E-10
   6   1   1  -2.83179135432E-09   2.83179135363E-09
   7   1   1  -4.96782652781E-04  -7.03352454889E-10
   8   1   1  -1.53377274275E-03   1.68458711158E-09
   9   1   1  -5.74363653433E-03  -4.59118157978E-09
  10   1   1  -1.96106416812E-02  -3.10048278773E-09
   1   2   1   4.60940834456E-02   3.97372110761E-02
   2   2   1  -4.60940722270E-02  -3.97372222947E-02
   3   2   1   3.94450149838E-03  -1.17558128875E-02
   4   2   1   2.32307733059E-03  -3.12559599547E-03
   5   2   1   8.98254886172E-04  -1.03519712621E-03
   6   2   1   2.23418658123E-04  -2.63023651168E-04
   7   2   1  -2.23416112423E-04   2.63021105469E-04
   8   2   1  -8.98254473951E-04   1.03519671399E-03
   9   2   1  -2.32307788629E-03   3.12559655117E-03
  10   2   1  -3.94451511920E-03   1.17558265083E-02
   1   3   1   7.08151749214E-03   8.48564603442E-03
   2   3   1  -7.39128628087E-09   7.39128628371E-09
   3   3   1  -7.08151572454E-03  -8.48564780202E-03
   4   3   1  -7.96803114414E-04  -5.04981766047E-03
   5   3   1   3.11454494526E-04  -2.24378081643E-03
   6   3   1   2.29162807598E-04  -8.59990214399E-04
   7   3   1  -1.11551759510E-09   1.11551759607E-09
   8   3   1  -2.29164918636E-04   8.59992325437E-04
   9   3   1  -3.11455146608E-04   2.24378146852E-03
  10   3   1   7.96812616739E-04   5.04980815814E-03
   1   4   1   1.42148364938E-03   3.34929066881E-03
